program_name,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth,c81,c82,c83,c84,c85,c86,c87
cfiles32/array-tiling/revcpyswp2.c,52,13,4,320,14,1,1,7,4,1,1,1,1,1,1,1
cfiles32/array-tiling/rew.c,37,11,4,205,13,1,0,6,4,1,1,1,1,1,1,1
cfiles32/array-tiling/rewnif.c,34,11,4,193,13,1,0,6,4,1,1,1,1,1,1,1
cfiles32/array-tiling/rewnifrev.c,34,11,4,197,13,1,0,6,4,1,1,1,1,1,1,1
cfiles32/array-tiling/rewnifrev2.c,31,10,4,190,13,1,0,5,4,1,1,1,1,1,1,1
cfiles32/array-tiling/rewrev.c,37,11,4,206,13,1,0,6,4,1,1,1,1,1,1,1
cfiles32/bitvector-regression/implicitunsignedconversion-2.c,13,3,2,73,8,0,0,1,3,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem01_label00.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem01_label59.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label21.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label22.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label23.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label44.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label45.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label46.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem02_label47.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem03_label05.c,1656,3070,3,17838,155,1,3060,6,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem03_label06.c,1656,3070,3,17838,155,1,3060,6,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem10_label50.c,513,954,3,5736,87,1,649,301,4,1,1,1,1,1,1,1
cfiles32/eca-rers2012/Problem11_label35.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1
cfiles32/float-benchs/Muller_Kahan.c,18,6,3,129,11,1,0,3,4,1,1,1,1,1,1,1
cfiles32/float-benchs/Rump_float.c,13,4,3,168,17,0,0,1,4,1,1,1,1,1,1,1
cfiles32/float-newlib/double_req_bl_0220a.c,604,131,12,3105,17,2,25,64,6,1,1,1,1,1,1,1
cfiles32/float-newlib/double_req_bl_0220b.c,604,131,12,3107,17,2,25,64,6,1,1,1,1,1,1,1
cfiles32/float-newlib/double_req_bl_0970b.c,156,27,5,787,14,1,7,9,3,1,1,1,1,1,1,1
cfiles32/float-newlib/float_req_bl_0240a.c,573,123,13,3103,16,2,19,63,6,1,1,1,1,1,1,1
cfiles32/float-newlib/float_req_bl_0240b.c,573,123,13,3104,16,2,19,63,6,1,1,1,1,1,1,1
cfiles32/float-newlib/float_req_bl_1231.c,64,33,6,325,12,1,6,13,3,1,1,1,1,1,1,1
cfiles32/floats-cbmc-regression/float-to-double1.i,286,10,2,4176,14,0,5,0,2,1,1,1,1,1,1,1
cfiles32/floats-cdfpl/newton_1_1.i,32,9,5,246,13,0,0,3,3,1,1,1,1,1,1,1
cfiles32/floats-cdfpl/newton_2_3.i,33,9,5,259,13,0,0,3,3,1,1,1,1,1,1,1
cfiles32/floats-esbmc-regression/Float_div.i,23,6,3,136,9,1,1,1,3,1,1,1,1,1,1,1
cfiles32/floats-esbmc-regression/digits_for.c,16,5,3,126,12,1,1,1,4,1,1,1,1,1,1,1
cfiles32/ldv-regression/fo_test.i,983,13,11,3763,13,0,1,1,5,1,1,1,1,1,1,1
cfiles32/ldv-regression/test10.c,35,5,3,170,8,0,0,2,3,1,1,1,1,1,1,1
cfiles32/ldv-regression/test_overflow.i,751,10,9,3693,13,0,1,0,4,1,1,1,1,1,1,1
cfiles32/ldv-regression/test_union.c_1.i,17,4,3,92,8,0,1,0,4,1,1,1,1,1,1,1
cfiles32/ldv-regression/volatile_alias.i,14,3,2,80,9,0,0,1,3,1,1,1,1,1,1,1
cfiles32/list-ext-properties/960521-1_1-1.i,531,14,8,2242,13,1,0,3,2,1,1,1,1,1,1,1
cfiles32/list-ext3-properties/dll_circular_traversal-2.i,563,14,6,2373,15,1,2,5,3,1,1,1,1,1,1,1
cfiles32/list-properties/list_search-2.i,803,20,11,3937,13,1,2,4,3,1,1,1,1,1,1,1
cfiles32/list-simple/dll2c_append_equal.i,582,19,9,2464,15,1,2,6,4,1,1,1,1,1,1,1
cfiles32/list-simple/sll2n_update_all_reverse.i,567,19,10,2403,15,1,1,6,4,1,1,1,1,1,1,1
cfiles32/loop-acceleration/array_1-2.c,17,5,3,103,9,1,1,1,4,1,1,1,1,1,1,1
cfiles32/loop-acceleration/simple_1-2_abstracted.c,32,5,3,161,9,0,0,1,4,1,1,1,1,1,1,1
cfiles32/loop-crafted/simple_array_index_value_1-1.i,32,8,3,164,12,1,2,3,3,1,1,1,1,1,1,1
cfiles32/loop-crafted/simple_array_index_value_1-2.i,37,10,4,179,9,1,1,2,3,1,1,1,1,1,1,1
cfiles32/loop-crafted/simple_array_index_value_3.i,35,10,4,188,11,1,2,2,3,1,1,1,1,1,1,1
cfiles32/loop-crafted/simple_array_index_value_4.i.v+nlh-reducer.c,172,19,3,384,30,1,6,10,3,1,1,1,1,1,1,1
cfiles32/loop-industry-pattern/aiob_4.c.v+lh-reducer.c,237,8,2,1547,18,0,3,3,3,1,1,1,1,1,1,1
cfiles32/loop-industry-pattern/ofuf_3.c,464,61,12,1836,18,2,8,29,5000,1,1,1,1,1,1,1
cfiles32/loop-lit/mine2017-ex4.7.i,25,8,3,147,10,1,2,3,5000,1,1,1,1,1,1,1
cfiles32/loop-new/count_by_1.i,27,8,4,154,9,1,1,1,3,1,1,1,1,1,1,1
cfiles32/loop-new/count_by_2.i,27,8,4,155,9,1,1,1,3,1,1,1,1,1,1,1
cfiles32/loop-new/half.i,34,12,4,191,9,1,2,4,3,1,1,1,1,1,1,1
